ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
329-92-0062|4570304242722385|Calvin|Newman|M|706 Green Tunnel Suite 213|Bristol|WI|53104|42.5325|-88.0478|5426|Primary school teacher|2004-10-22|717258028056|young_adults_male_urban.json
095-47-2752|6578790032763182|Kathleen|Blankenship|F|33011 Medina Parks Suite 356|Oxnard|CA|93033|34.1685|-119.1717|211523|Engineer, civil (contracting)|1934-04-13|685117634730|adults_50up_female_urban.json
847-25-0572|4447428652321536|Tyler|Rodriguez|M|05990 Moses Trail Suite 123|Atlanta|GA|30319|33.8687|-84.3351|900273|Immunologist|2002-04-07|453728474222|young_adults_male_urban.json
454-76-5084|4479475895274|Jonathan|Brown|M|60567 Jason Burg|Cleveland|OH|44105|41.4509|-81.619|769341|Engineer, manufacturing systems|1986-05-14|251902322019|adults_2550_male_urban.json
894-79-2081|4629866301993230751|Gail|Powers|F|184 Irwin Square Apt. 962|Roselle Park|NJ|07204|40.6651|-74.267|13297|Land|1979-10-28|391810354016|adults_2550_female_urban.json
742-75-9554|4265710709061218|Carlos|Holland|M|33700 William Neck Suite 822|Jersey Shore|PA|17740|41.247|-77.2706|12788|Research scientist (medical)|1983-03-18|527172379880|adults_2550_male_urban.json
687-80-3898|2317151279838234|Daniel|Martin|M|413 Adam Glens Suite 513|Lima|OH|45806|40.6752|-84.1244|86954|Scientist, audiological|1959-10-07|343240738615|adults_50up_male_urban.json
823-09-4582|2686355793867016|Richard|Brown|M|76388 Samantha Stream|Gladwyne|PA|19035|40.0451|-75.2821|3780|Engineer, electronics|1957-06-24|382088810373|adults_50up_male_urban.json
157-17-9291|4417014814675120|Julie|Taylor|F|857 Jackson Tunnel Apt. 751|Nashville|TN|37205|36.1114|-86.869|431336|Chief Financial Officer|1995-10-04|964096439382|adults_2550_female_urban.json
457-51-3845|3545884898081727|Brenda|Mercado|F|714 Laurie Corner|San Antonio|TX|78261|29.7055|-98.4191|1595797|Child psychotherapist|1987-06-09|643551869919|adults_2550_female_urban.json
346-18-5176|4413908656043475|Michael|Lewis|M|32842 Lopez Common|Las Vegas|NV|89119|36.1008|-115.1365|1417793|Operations geologist|1963-07-30|903474252563|adults_50up_male_urban.json
429-94-7355|4489037624440370|Courtney|Wyatt|F|2691 Kathy Village Apt. 082|Pawtucket|RI|02860|41.8729|-71.3907|71377|Community education officer|1987-01-04|193897430794|adults_2550_female_urban.json
875-71-8753|213101377885263|Shelley|Davis|F|69589 Amanda Extensions Apt. 427|Jamaica|NY|11434|40.6775|-73.7758|224445|Advertising account executive|1943-11-01|933736325015|adults_50up_female_urban.json
322-79-8144|180042139751352|Michael|Johnson|M|6097 Walker Walk Suite 198|Magnolia|NC|28453|34.8957|-78.0432|3829|Toxicologist|1960-09-26|379574507979|adults_50up_male_urban.json
670-25-3239|568832464297|Ashley|Collins|F|1056 Maddox Run Suite 947|Las Vegas|NV|89128|36.1968|-115.2644|1417793|Research officer, trade union|1970-07-13|169169700534|adults_50up_female_urban.json
795-24-1517|6011530062913454|Leah|Adams|F|8287 Kevin Haven|Meyersdale|PA|15552|39.7905|-79.0261|6115|Neurosurgeon|1977-03-12|717387341902|adults_2550_female_urban.json
554-08-5857|3541830889780243|Derek|Rogers|M|9283 Sarah Mount Suite 302|Kenosha|WI|53142|42.556|-87.8705|112912|Geophysicist/field seismologist|1996-03-07|680389211698|adults_2550_male_urban.json
054-44-4665|213137255558598|Wesley|Williams|M|4385 Thomas Station|Jacksonville|FL|32217|30.2407|-81.617|847415|Sound technician, broadcasting/film/video|1966-12-28|948114093264|adults_50up_male_urban.json
586-29-5301|4956577099168281|Sheena|Krueger|F|44112 Howard Spring Suite 135|Cary|NC|27513|35.7956|-78.7941|131592|Careers adviser|1988-02-05|122137349088|adults_2550_female_urban.json
670-56-0896|3528303822008210|David|Johnson|M|6525 Donald Freeway|Jasper|GA|30143|34.462|-84.4759|21145|Scientist, physiological|1980-08-30|893884342063|adults_2550_male_urban.json
626-09-8781|5189152786700311|Mark|Smith|M|38149 Richard Tunnel Suite 741|Lakewood|NJ|08701|40.085|-74.2042|92843|Consulting civil engineer|2004-04-11|534383355175|young_adults_male_urban.json
241-15-9813|6583655251061787|Dillon|Watson|M|185 Jack Lodge Suite 784|Hempstead|NY|11550|40.7049|-73.6176|59357|Insurance account manager|1969-04-25|849395688287|adults_50up_male_urban.json
836-66-7928|4561453313857|Kenneth|Sawyer|M|072 House Circle Apt. 704|Massapequa|NY|11758|40.6682|-73.4588|53804|Chief Financial Officer|2005-08-22|568644677655|young_adults_male_urban.json
335-24-4586|4129155839967437|Joshua|Carter|M|64901 Jeffrey Mountain Apt. 326|Willoughby|OH|44094|41.6302|-81.4076|35234|Water engineer|1963-08-17|996711306503|adults_50up_male_urban.json
439-16-4750|501883258458|Heather|Morgan|F|8106 Williams Skyway Suite 625|Cincinnati|OH|45233|39.111|-84.6594|795220|Lighting technician, broadcasting/film/video|1971-11-24|143352963953|adults_50up_female_urban.json
175-79-5569|4678488854583050273|Amanda|Day|F|33721 Amanda Parkways|Staten Island|NY|10304|40.6102|-74.0878|468730|Architect|1962-10-01|661490109738|adults_50up_female_urban.json
823-17-2810|4693937201753198|Nicole|Calderon|F|9000 Hart Skyway Suite 407|Fairfield|CT|06824|41.1692|-73.2681|55023|Tour manager|2000-08-01|587531080703|young_adults_female_urban.json
704-49-0297|373748520602700|John|Curtis|M|6959 Ferguson Lake|Elwood|IN|46036|40.2803|-85.8391|11663|Lecturer, higher education|1984-02-22|787579933897|adults_2550_male_urban.json
302-68-5312|180084639299029|Tara|Nicholson|F|741 Morris Ports|Fort Lauderdale|FL|33312|26.0968|-80.181|711693|Civil engineer, contracting|1965-11-10|675434743595|adults_50up_female_urban.json
782-69-4583|347418526009614|Joseph|Church|M|29347 Heather Tunnel Apt. 079|Des Moines|IA|50312|41.5855|-93.6719|222785|Journalist, broadcasting|1964-05-24|689298296414|adults_50up_male_urban.json
598-58-9795|4351496634216|Jaime|Faulkner|M|435 Dennis Square Apt. 420|Columbia|MD|21044|39.2141|-76.8788|95072|Television production assistant|1985-10-09|87624726087|adults_2550_male_urban.json
100-83-4048|36113945618360|Philip|Tucker|M|65671 Castillo Forges Apt. 787|Grand Prairie|TX|75052|32.6605|-97.0311|174375|Scientist, physiological|1965-08-29|328547414949|adults_50up_male_urban.json
470-68-9952|180079156194009|Allison|Vaughn|F|38129 Jennifer Terrace Apt. 717|Niagara Falls|NY|14305|43.1146|-79.0378|66192|IT sales professional|1962-03-14|123997998320|adults_50up_female_urban.json
379-57-2844|5330520413514719|Ashley|Caldwell|F|679 Branch Flat Apt. 413|Cleveland|OH|44108|41.5349|-81.609|769341|Tree surgeon|1968-01-08|310212945688|adults_50up_female_urban.json
144-82-0685|6562645695937275|Peter|Hughes|M|0659 Murillo Locks Apt. 316|Wilkes Barre|PA|18706|41.2044|-75.9113|74653|Armed forces technical officer|1952-07-21|584710820382|adults_50up_male_urban.json
173-62-5582|3575474375791494|Sara|Martinez|F|930 Savannah Forks|Saylorsburg|PA|18353|40.8965|-75.367|12779|Pharmacist, community|1961-06-14|799182916077|adults_50up_female_urban.json
493-02-9305|180052480553505|Jennifer|Mccoy|F|70949 Douglas Crest Apt. 678|Atlanta|GA|30338|33.9668|-84.3249|900273|Statistician|1989-09-03|875034639923|adults_2550_female_urban.json
170-83-4027|3579090396750271|Bernard|Evans|M|3623 Reid Turnpike Apt. 058|Foley|AL|36535|30.4007|-87.6857|26767|Broadcast journalist|1961-09-02|850664626220|adults_50up_male_urban.json
886-33-9948|060419126267|Derrick|Lopez|M|58402 Gallegos Way Suite 342|Lakewood|OH|44107|41.4847|-81.8018|52244|Biomedical scientist|2006-02-02|424503590645|young_adults_male_urban.json
218-76-2262|4809506170364|Michelle|Spencer|F|7429 Ballard Route|Lagrange|GA|30241|33.0249|-84.9577|53190|Haematologist|1994-01-28|178935826687|adults_2550_female_urban.json
266-30-0355|3513710485632804|Mark|Drake|M|208 James Curve Suite 339|Jacksonville|AL|36265|33.831|-85.7752|21060|Call centre manager|1979-08-10|781162688597|adults_2550_male_urban.json
665-38-0829|567194024236|Stephen|Fisher|M|107 Waters Lights|Sacramento|CA|95831|38.4962|-121.5297|757530|Clinical cytogeneticist|1997-05-25|879605420082|adults_2550_male_urban.json
259-91-8392|213162339218266|Leslie|Phillips|F|95713 Flores Valley|Albuquerque|NM|87114|35.1868|-106.6652|641349|Dietitian|1975-07-06|649102517944|adults_2550_female_urban.json
814-73-4669|30368017228672|Tracy|Dillon|F|70316 Anna Stravenue Suite 138|Clemmons|NC|27012|36.0341|-80.3962|25461|Doctor, hospital|1979-02-11|786620847308|adults_2550_female_urban.json
737-61-2158|3532353684992021|Anna|Lewis|F|07281 Robinson Park|Danbury|CT|06811|41.424|-73.4716|80882|Engineer, biomedical|1957-02-07|591777227765|adults_50up_female_urban.json
737-91-1005|501815572224|Janice|Gardner|F|276 Farmer Landing|San Jose|CA|95127|37.3692|-121.8208|973849|Therapist, music|1984-03-29|16630495052|adults_2550_female_urban.json
531-65-8256|213164426503444|Erik|Sparks|M|00901 Warren Land Apt. 928|Lenox|GA|31637|31.2664|-83.4481|2848|Call centre manager|2000-05-16|365698933080|adults_2550_male_urban.json
051-37-3544|30394707773124|James|Howell|M|451 Ramirez Crossing|Flower Mound|TX|75028|33.0383|-97.0745|64771|Training and development officer|2000-10-17|299617565139|young_adults_male_urban.json
414-24-2485|36810466769577|Francisco|Powell|M|300 Susan Island|Los Angeles|CA|90025|34.0447|-118.4487|2383912|Engineer, control and instrumentation|1998-02-26|441399569689|adults_2550_male_urban.json
368-53-5965|4884093292297800249|Joshua|Valdez|M|38895 Wilson Ville|Dallas|TX|75203|32.746|-96.807|1263321|Special effects artist|1987-03-29|673368132493|adults_2550_male_urban.json
426-35-8401|4053708504162161|Gina|Martinez|F|7047 Snyder Springs Apt. 082|Olathe|KS|66062|38.8733|-94.7752|130216|Clinical biochemist|1972-01-12|244688689242|adults_50up_female_urban.json
089-40-6561|4611751637323|Seth|Martin|M|0831 Estes Camp|Inverness|FL|34453|28.8723|-82.3454|32324|Commercial art gallery manager|1974-05-04|692032104273|adults_50up_male_urban.json
686-28-3638|4840288539346078483|Austin|Watts|M|6011 Hamilton Common Apt. 629|East Amherst|NY|14051|43.0429|-78.6988|19533|Air broker|1975-12-07|25298742502|adults_2550_male_urban.json
508-16-4423|4707766063164285536|Frederick|Turner|M|5201 Robert Forks|Philomath|OR|97370|44.5488|-123.3923|8271|Tax inspector|1970-10-05|15480725249|adults_50up_male_urban.json
712-13-6539|630428607133|Patrick|Smith|M|0334 Holland Isle|Miami|FL|33186|25.6694|-80.4085|1737737|Psychologist, occupational|1999-07-26|601076116334|adults_2550_male_urban.json
693-29-8648|6566799970262044|Jordan|Garcia|F|499 Valerie Springs Apt. 131|Van Nuys|CA|91401|34.1802|-118.4324|166616|IT trainer|1973-11-04|207655987752|adults_50up_female_urban.json
498-34-1536|30369172320338|Jason|Pacheco|M|139 Pierce Park Apt. 587|Sparks|NV|89434|39.5502|-119.7178|110014|Doctor, hospital|2001-06-06|164577318893|young_adults_male_urban.json
593-02-7875|4447700381342564289|April|Klein|F|520 Mullen Hollow Suite 471|Des Moines|IA|50327|41.5815|-93.4848|222785|Editor, magazine features|1948-04-18|742161000132|adults_50up_female_urban.json
691-17-2263|2284522066513397|Curtis|Wood|M|18122 Davis Valleys|Jacksboro|TX|76458|33.2347|-98.1681|6261|Radio producer|1966-07-26|183378235521|adults_50up_male_urban.json
731-58-1436|3540970873444983|Curtis|Kennedy|M|73975 Stephanie Islands|Bellmore|NY|11710|40.6729|-73.5365|34496|Museum/gallery curator|1977-01-25|791457585537|adults_2550_male_urban.json
378-23-8853|4174145124046399583|Michael|Rodriguez|M|11693 Jackson Camp|Nancy|KY|42544|37.0631|-84.7192|5843|Physiological scientist|2003-10-18|653591268385|young_adults_male_urban.json
350-94-1972|6516164974473751|Aaron|Williams|M|0098 Lisa Highway|Sadler|TX|76264|33.731|-96.84|1412|Teacher, secondary school|1958-11-09|612550617666|adults_50up_male_rural.json
632-75-7448|676294760878|Michelle|Campbell|F|80775 Jacob Club Apt. 700|Hartford|CT|06112|41.7905|-72.6964|123919|Lexicographer|1950-11-16|409375210805|adults_50up_female_urban.json
564-90-4556|4369713285612|Linda|Walton|F|3246 Timothy Summit Suite 987|Philadelphia|PA|19115|40.0903|-75.041|1526206|Psychiatric nurse|1973-08-24|763258984932|adults_50up_female_urban.json
771-55-0824|675961304135|Regina|Johnson|F|51807 Harris Junction|Saginaw|MI|48602|43.4248|-83.9745|135669|Programme researcher, broadcasting/film/video|1943-09-04|414591871850|adults_50up_female_urban.json
568-84-3934|340273282915091|Derek|Smith|M|74038 Seth Roads Apt. 160|Wilmington|DE|19809|39.7647|-75.5069|215619|Research officer, government|1982-11-11|744189773667|adults_2550_male_urban.json
119-26-1710|379383334113837|Joshua|Reynolds|M|98380 Samuel Stream|Kents Hill|ME|04349|44.4383|-70.0748|1158|Senior tax professional/tax inspector|1985-03-29|17147894912|adults_2550_male_rural.json
386-31-7261|4177982265504546|Annette|Campos|F|7179 Christopher Harbors|Milwaukee|WI|53216|43.0859|-87.9742|817312|Mechanical engineer|1933-03-10|470291695791|adults_50up_female_urban.json
888-27-3011|347124323973644|Ashley|Robinson|F|8209 Cobb Estate Suite 854|Landisburg|PA|17040|40.3326|-77.3191|2787|Pensions consultant|1950-11-27|146654521924|adults_50up_female_urban.json
763-55-2764|4067991840427202515|Chad|Wheeler|M|2159 Schmidt Rapid|Cleveland|OH|44120|41.4714|-81.5839|769341|Research scientist (life sciences)|1963-10-03|100143451581|adults_50up_male_urban.json
008-48-2980|38997016375688|Ryan|Petersen|M|794 Love Spur Suite 618|Springfield|MO|65804|37.1654|-93.2522|219752|Investment banker, corporate|1989-06-28|701384898144|adults_2550_male_urban.json
822-77-7249|4188445956178506|John|Turner|M|97150 Kayla Plaza Suite 666|Lakeland|FL|33801|28.0381|-81.9392|237282|Agricultural consultant|2001-09-05|899976307766|young_adults_male_urban.json
866-17-1755|4967777678104882|David|Reilly|M|6484 Lara Square Suite 710|Bristol|TN|37620|36.5686|-82.1819|39102|Insurance underwriter|1982-06-02|555792960254|adults_2550_male_urban.json
388-55-0768|4069958694342|Christopher|Tran|M|1320 Hill Square|Denville|NJ|07834|40.8897|-74.4844|17722|Comptroller|1963-05-04|258885649011|adults_50up_male_urban.json
159-50-7165|3512489491096947|Stephen|Mccoy|M|11399 Rowland Stravenue|Goldsboro|NC|27534|35.3664|-77.9221|72075|Historic buildings inspector/conservation officer|1989-08-18|273025303149|adults_2550_male_urban.json
791-33-1426|4025111825282500|Mark|Hughes|M|623 Caitlin Mission Apt. 659|Foley|MN|56329|45.6919|-93.9148|7367|Child psychotherapist|1951-08-31|513012561113|adults_50up_male_urban.json
897-86-3369|4068636636766|Robert|Coleman|M|33501 Brown Burg|Marshall|TX|75672|32.5165|-94.3251|34387|Podiatrist|1976-07-31|249880376446|adults_2550_male_urban.json
712-54-9150|4774105449322|Linda|Parker|F|80356 Murphy Common Suite 658|Harwich|MA|02645|41.7008|-70.0579|9663|Amenity horticulturist|1981-10-26|768007509769|adults_2550_female_urban.json
106-65-9352|4111469604459|Robert|Banks|M|63256 Griffin Junctions|Waterloo|IA|50701|42.4778|-92.3661|70157|Runner, broadcasting/film/video|1981-04-09|518829331203|adults_2550_male_urban.json
464-47-6608|3548554837202372|Virginia|Daniels|F|426 Sophia Court Suite 846|Wichita|KS|67210|37.6379|-97.2613|409656|Insurance account manager|1969-04-22|828714374607|adults_50up_female_urban.json
037-38-9899|30324395575523|Laura|Martinez|F|91301 Ruiz Club|Bluffton|OH|45817|40.879|-83.8914|6736|Administrator, education|1975-10-09|804194736684|adults_2550_female_urban.json
140-57-2050|6011010875491543|Nathaniel|Rivera|M|247 Lori Streets Apt. 848|Ardsley|NY|10502|41.0113|-73.8413|5487|Insurance claims handler|1968-07-24|523799681648|adults_50up_male_urban.json
180-93-0092|4861863832984712995|Jessica|Garrison|F|4997 Franklin Pines Suite 201|Oxon Hill|MD|20745|38.8108|-76.9898|28451|English as a second language teacher|1955-11-11|921307898876|adults_50up_female_urban.json
253-33-7095|4237946747601|Daniel|Bailey|M|999 Delacruz Forge Suite 318|Winfield|KS|67156|37.2416|-96.98|15269|Therapist, speech and language|1956-07-03|481136576433|adults_50up_male_urban.json
057-23-9869|4023875446250219|Christopher|Thompson|M|6542 Alejandro Land|Covington|TN|38019|35.5598|-89.6501|15601|Education administrator|1977-03-02|460987680427|adults_2550_male_urban.json
519-59-1280|6516285206861131|Jerome|Walton|M|3955 Hartman Mills|Gaithersburg|MD|20878|39.1125|-77.2515|135332|Embryologist, clinical|1964-02-02|426024588891|adults_50up_male_urban.json
850-31-7460|4094398248415520|Jennifer|Garcia|F|50884 Sara Creek|Cape Coral|FL|33909|26.6939|-81.9452|156391|Health visitor|1960-12-01|412727909516|adults_50up_female_urban.json
324-30-0989|571137873741|Jeffrey|Manning|M|12157 Cooper Tunnel|Salisbury|NC|28147|35.6817|-80.5615|77045|Accommodation manager|1965-04-08|455438229190|adults_50up_male_urban.json
266-54-0366|4432120645396|Renee|Robinson|F|106 Michael Stravenue Suite 234|New Britain|CT|06053|41.6867|-72.7908|73240|Engineer, aeronautical|1993-11-22|745865994074|adults_2550_female_urban.json
361-70-2966|4060748717693314|Kevin|Roman|M|45549 Tracy Estate|Sikeston|MO|63801|36.8911|-89.582|23123|Dentist|1964-07-30|60472713594|adults_50up_male_urban.json
350-51-7414|3519655420378449|Deborah|Long|F|05034 Wiggins Road Apt. 521|Philadelphia|PA|19135|40.0247|-75.0518|1526206|Agricultural engineer|1935-02-18|764033533772|adults_50up_female_urban.json
573-94-0247|2260636321480248|Bruce|Porter|M|82019 Megan Vista|Grand Prairie|TX|75052|32.6605|-97.0311|174375|Occupational hygienist|1969-03-06|834461334476|adults_50up_male_urban.json
290-25-7540|3522552833272514|Felicia|Gross|F|706 Wyatt Forge Apt. 653|Statesboro|GA|30458|32.4408|-81.774|54956|Video editor|1954-03-14|720416475843|adults_50up_female_urban.json
377-82-2124|3525428934657423|Shannon|Peterson|F|14489 Maria Plain|Rockford|MI|49341|43.1152|-85.5136|33737|Glass blower/designer|1984-12-27|840224602977|adults_2550_female_urban.json
477-90-0123|4207556196365|Anna|Jones|F|318 Tammy Trafficway|Laguna Niguel|CA|92677|33.5145|-117.7084|63297|Historic buildings inspector/conservation officer|1983-05-14|778306789602|adults_2550_female_urban.json
296-46-5300|377267477377915|James|Parker|M|06459 Huff Fork|Memphis|TN|38114|35.0981|-89.9825|697385|Psychologist, sport and exercise|1975-05-11|689506043362|adults_50up_male_urban.json
876-86-8051|060493258721|Michael|Conner|M|767 Dickerson Tunnel|Gallup|NM|87301|35.5065|-108.7414|27024|Engineer, structural|1978-08-21|276101251997|adults_2550_male_urban.json
796-46-8063|3529955879364843|Sara|Boyd|F|93804 Kenneth Club Apt. 290|Williamstown|NJ|08094|39.665|-74.971|39940|Engineer, drilling|1979-09-24|98231960841|adults_2550_female_urban.json
823-83-2872|3560697189632770|Jeffery|Perez|M|4415 Steven Viaduct Apt. 057|Barto|PA|19504|40.3815|-75.5749|4998|Chief Financial Officer|1989-06-17|65135429361|adults_2550_male_urban.json
102-73-5139|502007466100|Timothy|Little|M|214 Amber Groves|Saint Albans|WV|25177|38.3774|-81.8305|24084|Programmer, multimedia|1977-06-02|839602117949|adults_2550_male_urban.json
160-13-6269|377122137640469|Joseph|Howard|M|486 Zachary Gateway Apt. 277|Portland|OR|97230|45.5472|-122.5001|841711|Engineer, materials|1952-07-29|298871244641|adults_50up_male_urban.json
706-37-8442|213123859519392|Stephanie|Chase|F|80492 David Square Apt. 817|Mecca|CA|92254|33.545|-116.0187|12768|Psychologist, occupational|1952-09-07|856446868964|adults_50up_female_urban.json
627-75-9856|30407539890948|Christy|Duncan|F|428 Isaac Lake Apt. 707|Little Compton|RI|02837|41.522|-71.1612|3492|Product designer|2003-03-18|876206588959|young_adults_female_urban.json
412-13-6093|4748156067875269|Pamela|Cervantes|F|73849 Dennis Harbors Suite 086|Wilmington|DE|19808|39.7359|-75.6647|215619|Learning mentor|1947-10-07|651747621327|adults_50up_female_urban.json
091-08-9460|4361952766352|Margaret|Campbell|F|212 Sandra Square Apt. 309|Richmond|KY|40475|37.7546|-84.2955|55803|Multimedia specialist|1987-09-01|326562160225|adults_2550_female_urban.json
685-16-8582|2222158644255915|Michelle|Smith|F|123 Ritter Prairie Suite 619|Blairsville|PA|15717|40.4413|-79.2533|10847|Cytogeneticist|1967-11-27|825406057881|adults_50up_female_urban.json
368-98-8224|3518023417379089|Linda|King|F|6125 Smith Centers Apt. 362|Bethlehem|PA|18017|40.6622|-75.3903|123241|Development worker, community|1992-06-08|414928907924|adults_2550_female_urban.json
316-63-9519|4049078475505294|Lisa|Martin|F|272 Mccullough Summit Apt. 336|Albany|KY|42602|36.6857|-85.1407|10216|Animal technologist|1967-10-08|678899126267|adults_50up_female_urban.json
876-39-7842|4358792373376310|Hannah|Davis|F|999 Michael Falls|Crocker|MO|65452|37.9446|-92.27|3315|Teacher, primary school|1975-11-14|392191240232|adults_2550_female_urban.json
